StudentID,Name,Age,Gender,Course,Year,Marks,Email,Phone,City
1,Allison Hill,27,Male,B.Sc,1,99,fvalencia@mccullough.com,7772715422,Jaipur
2,Noah Rhodes,18,Other,Diploma,1,81,kathy68@miller.com,0383412472,Hyderabad
3,Angie Henderson,17,Female,MBA,4,63,mark21@shelton-keller.com,0741975370,Jaipur
4,Daniel Wagner,28,Male,B.Com,4,68,rgiles@yahoo.com,3998877335,Lucknow
5,Cristian Santos,21,Male,B.Tech,3,98,jessicamills@gmail.com,8375582632,Lucknow
6,Connie Lawrence,20,Female,Diploma,1,47,marksanders@fischer-friedman.net,5108858998,Mumbai
7,Abigail Shaffer,20,Male,B.Sc,3,50,russelllynch@yahoo.com,9942817834,Mumbai
8,Gina Moore,19,Male,MCA,3,45,davidsellers@yates-bean.com,3395534334,Bengaluru
9,Gabrielle Davis,28,Female,Diploma,4,87,william42@yahoo.com,2040932424,Ahmedabad
10,Ryan Munoz,18,Male,B.Sc,3,75,hollandjustin@yahoo.com,7316332430,Ahmedabad
11,Monica Herrera,27,Male,B.Sc,3,96,dominguezscott@yahoo.com,4783907121,Bengaluru
12,Jamie Arnold,28,Other,B.Com,1,95,paulamorales@woods-ryan.com,9102419827,Lucknow
13,Lisa Hensley,25,Female,MCA,3,59,xhill@stuart.info,2076991528,Delhi
14,Michele Williams,18,Other,MCA,2,86,jcruz@hotmail.com,7895166501,Mumbai
15,Dylan Miller,26,Female,B.Sc,3,94,jhiggins@gmail.com,4402776012,Jaipur
16,Brian Ramirez,23,Female,B.Com,3,77,troybrady@hotmail.com,5751000366,Kolkata
17,Holly Wood,17,Male,B.Sc,4,86,rossjacob@hotmail.com,3973847184,Hyderabad
18,Derek Zuniga,17,Female,MBA,1,31,brett40@kline.biz,3021291823,Mumbai
19,Lisa Jackson,18,Other,BA,4,99,bcarroll@hotmail.com,5112980310,Ahmedabad
20,Carla Gray,20,Female,MBA,3,52,joshuaweaver@cooper.net,7050674825,Jaipur
21,Margaret Hawkins DDS,20,Male,BA,3,37,mwatkins@gmail.com,5465476316,Pune
22,Patty Perez,25,Female,MCA,1,33,jacob32@hotmail.com,5903653542,Mumbai
23,Ethan Adams,26,Male,B.Sc,1,63,ogreer@gmail.com,6676226761,Kolkata
24,Tommy Walter,17,Male,BA,3,99,richard41@becker.com,4552242059,Chennai
25,Matthew Foster,25,Female,MCA,1,35,robincooper@gmail.com,4978064371,Hyderabad
26,Judy Baker,20,Female,Diploma,4,83,oshah@walker.com,4897311601,Pune
27,Justin Baker,28,Female,BBA,2,90,michelleayers@castro.com,9952115424,Pune
28,Stephanie Ross,27,Male,BBA,2,70,lynntracy@yahoo.com,4379086808,Mumbai
29,Zachary Hicks,28,Male,MCA,1,90,alexis57@hotmail.com,5836454875,Hyderabad
30,Anthony Rodriguez,25,Other,MBA,1,41,jeffrey34@hotmail.com,4254290436,Mumbai
31,Rebecca Henderson,23,Other,Diploma,2,53,housedaniel@george-martin.com,6849785078,Chennai
32,James Ferrell,20,Other,MCA,2,54,josephjohnson@yahoo.com,3081580867,Chennai
33,Tricia Valencia,24,Male,Diploma,4,78,uparker@chavez-murphy.com,1193246719,Ahmedabad
34,Nathan Maldonado,26,Other,BBA,4,40,robinsonglenn@mercado.net,5237100295,Kolkata
35,Debra Davidson,21,Female,B.Com,3,68,laurenwest@williams-moyer.com,1875705320,Pune
36,Jeffrey Chavez,29,Female,Diploma,3,81,campbellkayla@johnson.com,3014464197,Lucknow
37,Sherri Baker,30,Female,B.Sc,4,41,hgilbert@hotmail.com,0367580693,Jaipur
38,Cassandra Gaines,17,Other,B.Sc,2,40,jacobsmary@yahoo.com,0117130370,Chennai
39,Elizabeth Fowler,29,Female,BBA,4,50,michael38@grant.com,6790877373,Chennai
40,Brittany Farmer,29,Male,Diploma,1,95,ubutler@hotmail.com,7592746010,Mumbai
41,Paula Moreno,19,Male,Diploma,1,93,rryan@yahoo.com,7400970183,Pune
42,Fred Smith,28,Female,BA,3,64,trevormorgan@bird-barry.com,1806108537,Ahmedabad
43,Sherry Decker,23,Female,B.Com,3,51,yoconnell@yahoo.com,0102221268,Ahmedabad
44,Anthony Humphrey,22,Male,B.Tech,1,84,waynetorres@hotmail.com,1011816934,Chennai
45,Angelica Tucker,21,Female,B.Sc,2,94,burnettronnie@johnson-cantu.com,7698710149,Mumbai
46,Philip Cannon,19,Male,B.Tech,1,49,moorekurt@hall.com,3282251964,Pune
47,John Pierce,20,Other,B.Sc,4,89,lloydmiranda@clark.com,1672117025,Ahmedabad
48,Shane Henderson,29,Other,Diploma,1,80,boydcynthia@yahoo.com,5502421825,Delhi
49,Joshua Blair,22,Male,B.Tech,3,91,campbelljustin@warren.info,7595024242,Jaipur
50,Eric Carney,18,Other,B.Com,3,36,smccarty@henderson.info,2317548771,Bengaluru
51,Jessica Holmes,18,Other,MCA,4,64,ahernandez@gmail.com,0613920318,Bengaluru
52,Danny Morgan,23,Male,MBA,4,35,samantharoberts@gmail.com,4482287807,Bengaluru
53,Crystal Robinson,18,Female,B.Com,1,75,jasminemorton@mclaughlin.com,4963096667,Pune
54,Mark Perez,22,Other,BBA,2,59,catherinejohns@smith.biz,0296499104,Pune
55,Shannon Jones,30,Female,B.Sc,3,45,stonerobert@moore-robbins.info,9545844657,Ahmedabad
56,Michael Lewis,22,Female,B.Sc,1,63,patelkatie@yahoo.com,1534278932,Lucknow
57,Timothy Duncan,26,Other,Diploma,4,41,lthompson@castillo-flores.com,2766548427,Kolkata
58,Richard Aguirre,21,Female,Diploma,1,84,jtaylor@hotmail.com,4540300214,Delhi
59,Brent Jordan,29,Female,BA,2,44,douglas18@harmon.com,9453882323,Lucknow
60,John Daniel,17,Other,BBA,3,75,lbrown@gonzales.com,5668228965,Mumbai
61,Victoria Garcia,28,Other,Diploma,3,84,jamescobb@hotmail.com,0398013376,Jaipur
62,Gerald Hensley,24,Female,Diploma,2,35,suehowe@white-moore.org,7701411158,Ahmedabad
63,Connor West,25,Female,BBA,1,93,gkeith@simmons.com,1539428115,Jaipur
64,Donald Wright,18,Female,MBA,3,100,angelathomas@gmail.com,0916397505,Jaipur
65,Jessica Callahan,23,Male,B.Tech,4,61,jacqueline39@hotmail.com,5109810094,Pune
66,Amber Kidd,18,Male,B.Tech,2,52,angela44@martinez-hardy.info,2773206569,Hyderabad
67,Tracy House,25,Female,MCA,4,92,evanlong@gmail.com,3808263267,Chennai
68,Carol Tucker,21,Other,B.Sc,3,66,jose49@carr-hardy.com,4310753987,Jaipur
69,James Brown,30,Male,MCA,2,100,ksmith@gmail.com,2642930646,Hyderabad
70,William Baker,27,Male,Diploma,3,58,martinmark@hotmail.com,8167428954,Lucknow
71,Jordan Henderson,26,Female,MBA,1,72,nhiggins@yahoo.com,7438947528,Mumbai
72,Whitney Peters,30,Male,MCA,4,78,bethanygrant@hotmail.com,5979898224,Pune
73,Brittney Phillips,22,Female,Diploma,2,75,edwardburnett@taylor.biz,4210014996,Ahmedabad
74,Lauren Daniels,26,Other,Diploma,3,43,glenware@juarez-burns.info,8545390579,Chennai
75,Amy Silva,20,Female,B.Tech,3,88,frances58@yahoo.com,6923395300,Lucknow
76,Sarah Moore,28,Other,B.Tech,1,80,danafoster@lindsey.com,9525637731,Pune
77,Angela Lopez,18,Male,B.Com,4,53,tiffany36@miller.com,5870131117,Chennai
78,Megan Young,17,Male,BBA,2,67,kjones@wiggins.com,3583624921,Kolkata
79,Steve Sanchez,27,Male,B.Com,1,35,dawnjackson@mcmahon.com,9443878717,Bengaluru
80,Lisa Barnes,20,Male,Diploma,4,83,timothyvaldez@hotmail.com,5891054825,Jaipur
81,Kelly Donovan,29,Other,MCA,2,66,salazarjames@ray.com,9643316120,Lucknow
82,Mike Allen,21,Male,B.Com,3,78,hdavis@sanders.com,8784277515,Jaipur
